tweet_id,author_name,created_at,text
1336444452085395456,shh,2020-12-08 22:56:01,"@AlexEliesen @farukhq @Hoyre @Venstre @KrFNorge Jeg har da ikke sagt et ord om hva jeg tror er grunnen.

Du prøver å tillegge meg en mening du selv finner opp, er hva jeg ser i tråden."
1336444160392519680,FifAnders,2020-12-08 22:54:52,@PerDagfinrud @ctrl_yrb @tomevensen Det er i flere sammenhenger logisk å kjøpe og eie våpen. Jeg har våpen. Forsvaret har våpen. Vi har ulike våpen av åpenbare grunner.
1336441740245557251,Klar for vaksina-Cath P S 🐦📷,2020-12-08 22:45:15,"Det her er jo formidabelt!
Så noen sa at jeg har ""ekkokammer"" i feeden, men det er faktisk ikke sant. Bruker mye tid og krefter på å sørge for å følge folk fra alle (lovlige) partier og folk med andre meninger.
Så dette er folka! Norsk dugnadsånd!
💪👏 https://t.co/PB7IZc1s8a"
1336441371117367296,🔰Aleksander Wahlø🔰,2020-12-08 22:43:47,"@PerArntsen @Fotballgubbe Trur alle ser fremgang, men det er også (som jeg har skrivd et annet sted) enkle ting som MÅ adresseres nå."
1336440866681069571,🔰Aleksander Wahlø🔰,2020-12-08 22:41:47,@superskjold @PerArntsen Jeg har heller ikke sagt at jeg vil ha han vekk. Men jeg vil se at man begynner å adresser… https://t.co/onU8MzTW55
1336439762597580805,Carlito Bielsa,2020-12-08 22:37:23,"@bareenmann Er vel litt forskjell mellom dagligdags, religiøst plagg og krigsuniform? Uten at jeg har orket å sette meg inn i enda en tullesak, så kan godt ligge noe annet bak her (selv om jeg tviler på at nei-et inneholdt info om niqab og burka)"
1336439518245826562,Kenneth Simonsen,2020-12-08 22:36:25,@esgya @Vaktmannen @bettibettsin Litt usikker på hvor du vill nå. Om jeg har hørt om et sted der folk sulter og det er krig? Og har jeg nevnt velferdsstaten med tanke på at jeg har det ok? 🤷‍♂️
1336439126292393986,Erik Gjerstad,2020-12-08 22:34:52,"@MoVoJo Etter forrige sesong
Manglende midler til storkjøp 

Ole har absolutt forbedringspotensiale, men jeg har tro på at han er riktig mann for klubben. 
Sa før fjorårets sesong at fra sommeren 2021, da får vi se for fullt hva Ole har i seg. Det var mye rot han måtte rette opp i."
1336438592227446790,FinTwitButcheren,2020-12-08 22:32:44,"Boktips⚠️
Jeg har IKKE lest den svært inspirerende boka til 
@10mill10ar
som omhandler hvordan noen med helt vanlig inntekt og økonomi kan GIRE maksimalt og ta MAKS risiko i et ATH marked.Boka visr hvordan du (helst) med minimal egenkapital kan oppnå utleiedrømmen! 

#IKKEREKLAME https://t.co/jmyr9zTpaj"
1336437890813997058,Ben📎,2020-12-08 22:29:57,"@Devilles12 Jeg badet i kjøkkenvasken når jeg var liten, for vi hadde ikke bad. Eneste kriminelle jeg har gjort er… https://t.co/5Bvid6z2fD"
1336435935391707139,Ariel Elizabeth 💖,2020-12-08 22:22:11,Er fortsatt ikke over sjokket det er at jeg gikk fra stryk på eksamen i det verste emne jeg har vært borti noensinne og et mareritt av et semester til å nå når jeg tok den igjen få en B. Hva faen???
1336435629828280321,Erik,2020-12-08 22:20:58,"@OEidslott Neida, og jeg har støttet både dette prosjektet og pogba hele veien. Men dette her holder ikke.
Og ja, jeg tror det finnes en del andre som kunne gjort dette annerledes ja.
Eneste grunnen til at United henger med i PL er at alle andre spiller elendig,akkurat det samme som berget"
1336433638423007240,Kenneth Simonsen,2020-12-08 22:13:03,"@esgya @Vaktmannen @bettibettsin Jeg har det rimelig bra. Men det er noen millioner mennesker igjen på jorden som sliter litt med sult, krig og katastrofer."
1336433619770945539,🔰Aleksander Wahlø🔰,2020-12-08 22:12:59,Jeg har vært pro-Solskjær hele veien. Men jeg begynner å tvile. Hvorfor ikke bare endre ting etter 20 minutter i kv… https://t.co/pHHoQ2pllu
1336433226005491715,Jonas Karlsen Åstrøm | 🎢🎭🏳‍🌈,2020-12-08 22:11:25,@erik_arnesen Bivirkningene er jo ofte så sjeldne på enkelte medikamenter at de er i grenseland for anekdotiske! Bi… https://t.co/VYB0pvDFAL
1336432042515582976,Test,2020-12-08 22:06:43,"@MaddogRemi @4redrik @politietost Jeg har selv nylig vært pårørende i relasjon til en slik tweet, og må si jeg opplevde det positivt at folk trykker. Folk bryr seg, og er ikke likegyldige til det. Det sier seg selv at friske personer ikke trykker liker fordi de er glad for ulykken"
1336431606727380996,Bjarne Jåtten Meling,2020-12-08 22:04:59,"@AslakBerge1 @FRfotballBen Hehe, tror ikke jeg har bidratt så mye med fransken!"
1336431529422151684,Torgeir Katla,2020-12-08 22:04:40,@ArneJJohnsen Kan bare bedømme ut fra kampene jeg har sett i CL og har ikke sett noen kvalitetsforskjell.
1336431394768244740,NattiJK,2020-12-08 22:04:08,"To stykker som står igjen som vinnere ikveld: Gratulerer til Raiola og Pogba. Jeg har ingenting mer å si, utenom at karma works in it own ways"
1336431289939980289,Marit Kristine,2020-12-08 22:03:43,JEG HAR INGENTING Å HØRE PÅ. Noen tips til gode låter?
1336431016622387200,Tom Søgård,2020-12-08 22:02:38,Uproblematisk for meg. Jeg har vært blodfan av Leeds i 48 år og er det fortsatt. https://t.co/x0EEQDcRlO
1336430988780580866,Aurora B 🌈,2020-12-08 22:02:32,"Så har vi mini-Malin @filterkaffe1337 Jeg vet egentlig ikke hvor jeg skal begynne her! Hun er ett av de flotteste menneskene jeg har fått lov til å bli kjent med, hun er rett og slett tvers igjennom god på alle mulige måter! Hun er rar, morsom, og ikke minst NERDY 🤓🤓"
