tweet_id,author_name,created_at,text
1335131083864674305,Bård eivind bakk,2020-12-05 07:57:10,"@CHKrey Kan itj sammenlignas. Æ ha bodd her, å e på hils med stort sett alle. Veit kor æ ska henvend mæ for å få hjelp. Sånn uansett kolles prosjekt man hold på med. Å har ein kompis som lute tørrfesk.
Men å sett å søl og drekk heimbrent, samtidig som man snakke skjiit.
Det orke æ itj."
1335129946411380736,Bård eivind bakk,2020-12-05 07:52:39,"@FANTonsen @mimirk Æ ha egenhendig bygd to vindmøllparka.
Å kolles innvestorkapitaln trikse med skatt og tillskudd, imens vi gi dem våre ressursa.
Unnskyld mæ, triksing med tall. Det by mæ imot."
1334972231538118657,Bård eivind bakk,2020-12-04 21:25:57,"@kakrist I morgen, i morgen.
Æ ha ikke komme dit enno."
1333861438553731078,Bård eivind bakk,2020-12-01 19:52:03,"@Cuervo3 Fra ein ekstremist, til ein verre.
Æ ha gitt opp.
Att dem skyt palistinera som del av valgkamp, det e visst sånn verden vil ha det."
1336424280658227202,Mr Gluten 6%,2020-12-08 21:35:52,"@NorgeQanon Nei ho ser ikke så gammel ut.... men om ho har ""logget"" på sprit som æ har gjort i 30 år så holder man sæ bra 😉🤣"
1336414004785373187,Markus,2020-12-08 20:55:02,@oppspist Lika kaotisk musikk når æ har mange tanka... for da forsvinn de litt 😝
1336330552119422980,Anna🌻,2020-12-08 15:23:26,Æ har meget lite tru på at vi faktisk går med på d her🙄
1336318358451441666,Marika Jenssen,2020-12-08 14:34:58,"@Robert_Haug @PetterSateroy mest usannsynlige med denna videoen e hentydninga til at d e gangavstand mellom NÅN steda i Nord-Norge, smh. also, det e den dårligste etterligninga av nordnorsk æ har hørt i mitt LIV, så skjønne godt dokker stræve når detta e utgangspunktet dokkers xD"
1336244941652111361,SK Gaski,2020-12-08 09:43:14,"@smehustoft @KetilThorvalds1 Det høres ut som grunn god nok, spør du mæ! Og æ har tatt ganske mange fag kor foreleseren e den eneste på pensum fordi hen e det eneste som har skrevet om feltet (urfolksakademia, woohoo!), men æ tror ikke det e sant om … verdenshistorien 😬"
1336046601241047046,pinnekull,2020-12-07 20:35:06,@r0zak0z @TicoRomao nei ser ikke sånn ut. æ har den på bluray.
1336008927167778816,Stian Dahl Sommerseth,2020-12-07 18:05:24,"En debatt kreve minst to side. De resteranes som har uttalt sæ om artikkelen «tilhøre» Alfheim. Masse gode saklige argumenta, flere æ sir mæ enig i, og æ føle æ har lært mye de siste dagan."
1335956238035775492,marty 🧷,2020-12-07 14:36:02,"@superdeadsandra 2 🖤 (æ har ingen notifs på visste ikke at det va en greie heh, har bare dom og h)"
1335906732950904833,Kristina 🌺,2020-12-07 11:19:19,"@jegerlilla Yum! Den til høyre e kjempegod.
Æ har helt dilla på teen fra Søstrene Grene med sitron og peppermyntesmak for tia🥰"
1335752737074651139,Nigel Haarstad 📷,2020-12-07 01:07:24,Æ har hatt denne låt på tung rotasjon siden æ oppdaget artisten i forrige uke. Bra album å jobbe med! https://t.co/muqNomeKJo
